['CAN/Parsley', 1711653972.6621306, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 1.0000213333333334, 'sensor_id': 'ISENSE_3V3', 'value': 0.004}}]
['CAN/Parsley', 1711653972.6621306, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 1.0000213333333334, 'sensor_id': 'VSENSE_3V3', 'value': 3.351}}]
['CAN/Parsley', 1711653972.6621306, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 1.0000213333333334, 'sensor_id': 'RAW_ISENSE_5V', 'value': 0.1}}]
['CAN/Parsley', 1711653972.6621306, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 1.0000213333333334, 'sensor_id': 'RAW_ISENSE_12V', 'value': 0.08}}]
['CAN/Parsley', 1711653972.6621306, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 1.0000213333333334, 'sensor_id': 'RAW_ISENSE_24V', 'value': 0.011}}]
['CAN/Parsley', 1711653972.6621306, {'board_id': 'ANY', 'msg_type': 'SENSOR_TEMP', 'data': {'time': 1.00096, 'sensor_id': 'T506', 'temperature': 0.0}}]
['CAN/Parsley', 1711653972.663131, {'board_id': 'ANY', 'msg_type': 'SENSOR_TEMP', 'data': {'time': 1.001152, 'sensor_id': 'T507', 'temperature': 2047.75}}]
['CAN/Parsley', 1711653972.663131, {'board_id': 'ANY', 'msg_type': 'SENSOR_TEMP', 'data': {'time': 1.001344, 'sensor_id': 'T508', 'temperature': 2047.75}}]
['CAN/Parsley', 1711653972.663131, {'board_id': 'ANY', 'msg_type': 'SENSOR_TEMP', 'data': {'time': 1.0015573333333334, 'sensor_id': 'T509', 'temperature': 2047.75}}]
['CAN/Parsley', 1711653972.7060444, {'board_id': 'ANY', 'msg_type': 'SENSOR_RPM', 'data': {'time': 1.0125226666666667, 'sensor_id': 'RPM501_S', 'rpm_counts': 0}}]
['CAN/Parsley', 1711653972.707176, {'board_id': 'ANY', 'msg_type': 'SENSOR_RPM', 'data': {'time': 1.012544, 'sensor_id': 'RPM502_S', 'rpm_counts': 0}}]
['Parsley/Health', 1711653973.4696739, {'id': 'YoshiTheCat/usb/com19', 'healthy': 'Healthy'}]
['CAN/Parsley', 1711653973.6521049, {'board_id': 'ANY', 'msg_type': 'SENSOR_TEMP', 'data': {'time': 1.2501973333333334, 'sensor_id': 'T501', 'temperature': 24.75}}]
